package,checkable,clickable,content-desc,index,focusable,enabled,resource-id,password,NAF,bounds,focused,checked,long-clickable,progress,text,class,scrollable,selected
com.adsk.sketchbook,false,true,,0,false,true,com.adsk.sketchbook:id/top_bar_main_menu,true,false,[15;0][147;132],false,false,false,0,,android.widget.ImageView,false,false
com.adsk.sketchbook,false,true,,1,false,true,com.adsk.sketchbook:id/top_bar_undo,true,false,[147;0][279;132],false,false,false,1,,android.widget.ImageView,false,false
com.adsk.sketchbook,false,true,,2,false,true,com.adsk.sketchbook:id/top_bar_redo,true,false,[279;0][410;132],false,false,false,2,,android.widget.ImageView,false,false
com.adsk.sketchbook,false,true,,3,false,true,com.adsk.sketchbook:id/top_bar_tools_menu,true,false,[410;0][541;132],false,false,false,3,,android.widget.ImageView,false,false
com.adsk.sketchbook,false,true,,4,false,true,com.adsk.sketchbook:id/top_bar_brush,true,false,[541;0][672;132],false,false,false,4,,android.widget.ImageView,false,false
com.adsk.sketchbook,false,true,,5,false,true,com.adsk.sketchbook:id/top_bar_color,true,false,[672;0][803;132],false,false,false,5,,android.widget.ImageView,false,false
com.adsk.sketchbook,false,true,,6,false,true,com.adsk.sketchbook:id/top_bar_layer,true,false,[803;0][934;132],false,false,false,6,,android.widget.ImageView,false,false
com.adsk.sketchbook,false,true,,7,false,true,com.adsk.sketchbook:id/top_bar_fullscreen,true,false,[934;0][1065;132],false,false,false,7,,android.widget.ImageView,false,false
com.adsk.sketchbook,false,false,,0,false,true,,false,,[439;1672][640;1776],false,false,false,8,,android.widget.ImageView,false,false
com.adsk.sketchbook,false,false,,0,false,true,,false,,[0;0][1080;1776],false,false,false,9,,android.view.View,false,false
