package,checkable,clickable,content-desc,index,focusable,enabled,resource-id,password,NAF,bounds,focused,checked,long-clickable,progress,text,class,scrollable,selected
com.particlenews.newsbreak,false,false,,0,false,true,,false,,[0;0][1080;1776],false,false,false,0,,android.view.ViewGroup,false,false
com.particlenews.newsbreak,false,false,,0,false,true,com.particlenews.newsbreak:id/toolbar,false,,[0;72][1080;204],false,false,false,1,,android.view.ViewGroup,false,false
com.particlenews.newsbreak,false,false,,0,false,true,com.particlenews.newsbreak:id/imv_profile,false,,[63;120][117;156],false,false,false,2,,android.widget.ImageView,false,false
com.particlenews.newsbreak,false,false,,1,false,true,com.particlenews.newsbreak:id/app_header_txt,false,,[180;100][511;175],false,false,false,3,News Break,android.widget.TextView,false,false
com.particlenews.newsbreak,false,false,,0,false,true,com.particlenews.newsbreak:id/imv_explore,false,,[840;111][894;165],false,false,false,4,,android.widget.ImageView,false,false
com.particlenews.newsbreak,false,false,,0,false,true,com.particlenews.newsbreak:id/img_gift,false,,[960;111][1011;165],false,false,false,5,,android.widget.ImageView,false,false
com.particlenews.newsbreak,false,false,,0,true,true,com.particlenews.newsbreak:id/navi_tabs,false,,[0;204][1080;324],false,false,false,6,,android.widget.HorizontalScrollView,true,false
com.particlenews.newsbreak,false,true,,0,true,true,,false,,[0;204][2;324],false,false,false,7,,android.support.v7.app.ActionBar$a,false,false
com.particlenews.newsbreak,false,true,,1,true,true,,false,,[2;204][226;324],false,false,false,8,,android.support.v7.app.ActionBar$a,false,true
com.particlenews.newsbreak,false,false,,0,false,true,com.particlenews.newsbreak:id/title,false,,[17;234][211;294],false,false,false,9,For You,android.widget.TextView,false,true
com.particlenews.newsbreak,false,true,,2,true,true,,false,,[226;204][548;324],false,false,false,10,,android.support.v7.app.ActionBar$a,false,false
com.particlenews.newsbreak,false,false,,0,false,true,com.particlenews.newsbreak:id/title,false,,[241;234][533;294],false,false,false,11,Coronavirus,android.widget.TextView,false,false
com.particlenews.newsbreak,false,true,,3,true,true,,false,,[548;204][855;324],false,false,false,12,,android.support.v7.app.ActionBar$a,false,false
com.particlenews.newsbreak,false,false,,0,false,true,com.particlenews.newsbreak:id/title,false,,[563;234][840;294],false,false,false,13,Local News,android.widget.TextView,false,false
com.particlenews.newsbreak,false,true,,4,true,true,,false,,[855;204][1080;324],false,false,false,14,,android.support.v7.app.ActionBar$a,false,false
com.particlenews.newsbreak,false,false,,0,false,true,com.particlenews.newsbreak:id/title,false,,[870;234][1080;294],false,false,false,15,Headlines,android.widget.TextView,false,false
com.particlenews.newsbreak,false,false,,1,true,true,com.particlenews.newsbreak:id/navi_pager,false,,[0;324][1080;1776],false,false,false,16,,android.support.v4.view.ViewPager,true,false
com.particlenews.newsbreak,false,false,,1,false,true,com.particlenews.newsbreak:id/fragment_swipe_refresh,false,,[0;324][1080;1776],false,false,false,17,,android.view.ViewGroup,false,false
com.particlenews.newsbreak,false,false,,0,true,true,com.particlenews.newsbreak:id/list,false,,[0;324][1080;1776],true,false,false,18,,android.support.v7.widget.RecyclerView,true,false
com.particlenews.newsbreak,false,false,,0,false,true,com.particlenews.newsbreak:id/ivChannel,false,,[30;354][72;396],false,false,false,19,,android.widget.ImageView,false,false
com.particlenews.newsbreak,false,false,,1,false,true,com.particlenews.newsbreak:id/txtChannel,false,,[87;354][322;399],false,false,false,20,Mountain View,android.widget.TextView,false,false
com.particlenews.newsbreak,false,false,,0,false,true,com.particlenews.newsbreak:id/news_title,false,,[30;429][630;591],false,false,false,21,Mountain View police search for 2 suspects in attempted car theft,android.widget.TextView,false,false
com.particlenews.newsbreak,false,false,,1,false,true,,false,,[30;591][33;594],false,false,false,22,,android.view.View,false,false
com.particlenews.newsbreak,false,false,,0,false,true,com.particlenews.newsbreak:id/news_source,false,,[30;626][279;664],false,false,false,23,KRON4 News - 12h,android.widget.TextView,false,false
